"Fahrerweltmeister","Gesamtanzahl von WM-Punkten"
"Lewis Hamilton","2047"
"Sebastian Vettel","1326"
"Michael Schumacher","810"
"Nico Rosberg ","385"
"Alain Prost","320"
"Fernando Alonso","267"
"Ayrton Senna","264"
"Niki Lauda","208"
"Jackie Stewart","196"
"Juan Fangio","183"
"Nelson Piquet","182"
"Mika HÃ¤kinnen","176"
"Jack Brabham","116"
"Emerson Fittipaldi","116"
"Kimi RÃ¤ikkÃ¶nen","110"
"Jim Clark","108"
"Nigel Mansell","108"
"Damon Hill","97"
"Jenson Button ","95"
"Graham Hill","90"
"Jaques Villeneuve","81"
"Alberto Ascari","70"
"James Hunt","69"
"Alan Jones","67"
"Mario Andretti","64"
"Denny Hulme","51"
"Jody Scheckter","51"
"Jochen Rindt","45"
"Keke Rosberg","44"
"Mike Hawthorn","42"
"John Surtees","40"
"Phil Hill","34"
"Nino Farina","30"
NULL,NULL
